Month,Period_End,Total_Wireless_Subs_Mn,Total_Wireline_Subs_Mn,Total_Telephone_Subs_Mn,Total_Broadband_Subs_Mn,Mobile_Broadband_Mn,Fixed_Wired_Broadband_Mn,Fixed_Wireless_Broadband_Mn,Urban_Wireless_Subs_Mn,Rural_Wireless_Subs_Mn,Urban_Wireline_Subs_Mn,Rural_Wireline_Subs_Mn,Urban_Total_Subs_Mn,Rural_Total_Subs_Mn,Overall_Tele_Density_Pct,Urban_Tele_Density_Pct,Rural_Tele_Density_Pct,Wireless_Tele_Density_Pct,Urban_Wireless_Tele_Density_Pct,Rural_Wireless_Tele_Density_Pct,Wireless_Mobile_Subs_Mn,Urban_Wireless_Mobile_Subs_Mn,Rural_Wireless_Mobile_Subs_Mn,5G_FWA_Subs_Mn,UBR_FWA_Subs_Mn,Total_FWA_Subs_Mn,Urban_5G_FWA_Subs_Mn,Rural_5G_FWA_Subs_Mn,Airtel_5G_FWA_Mn,Jio_5G_FWA_Mn,Jio_UBR_FWA_Mn,M2M_Connections_Mn,Active_VLR_Subs_Mn,VLR_Pct_of_Total,MNP_Requests_Month_Mn,MNP_Zone1_Mn,MNP_Zone2_Mn,Net_Add_Wireless_Mobile_Mn,Net_Add_Wireline_Mn,Net_Add_Total_Mn,Wireless_Monthly_Growth_Pct,Wireline_Monthly_Growth_Pct,Total_Monthly_Growth_Pct,Jio_Total_BB_Mn,Airtel_Total_BB_Mn,VIL_Total_BB_Mn,BSNL_Total_BB_Mn,Jio_Wired_BB_Mn,Airtel_Wired_BB_Mn,BSNL_Wired_BB_Mn,Net_Add_Jio_Mn,Net_Add_Airtel_Mn,Net_Add_VIL_Mn,Net_Add_BSNL_Mn,Private_Wireless_Share_Pct,PSU_Wireless_Share_Pct,Private_Wireline_Share_Pct,PSU_Wireline_Share_Pct
Apr-25,4/30/2025,1164.1,37.12,1201.22,948.1,901.55,41.45,5.1,635.8,528.3,33.35,3.77,669.15,532.07,85.12,132.12,58.6,82.49,125.56,58.18,1159,632.22,526.78,3.65,1.45,5.1,2.15,1.5,1.01,2.64,1.45,101.4,1056.4,90.75,10.85,5.8,5.05,2.11,0.22,2.33,0.18,0.6,0.19,478.2,291.1,125.4,35,11.55,8.6,4.3,2.64,0.17,-0.16,-0.07,91.85,8.15,71.1,28.9
May-25,5/31/2025,1168.35,37.45,1205.8,953.4,906.28,41.8,5.32,637.6,530.75,33.7,3.75,671.3,534.5,85.34,132.33,58.75,82.68,125.68,58.34,1163.03,634.02,529.01,3.82,1.5,5.32,2.22,1.6,1.05,2.77,1.5,103.12,1060.1,90.73,11.1,5.95,5.15,4.03,0.33,4.36,0.35,0.89,0.36,481.5,293.4,125.1,34.8,11.62,8.68,4.29,2.7,0.28,-0.14,-0.14,91.9,8.1,71.3,28.7
Jun-25,6/30/2025,1173.2,38.25,1211.45,958.9,911.11,42.15,5.64,639.95,533.25,33.85,4.4,673.8,537.65,85.67,132.55,58.98,82.97,125.9,58.5,1167.56,636.1,531.46,4.04,1.6,5.64,2.34,1.7,1.1,2.94,1.6,104.85,1065.8,90.85,10.92,5.82,5.1,4.53,0.8,5.33,0.39,2.14,0.44,484.9,296.05,124.8,34.5,11.7,8.75,4.27,1.91,0.76,-0.22,-0.31,91.92,8.08,71.55,28.45
Jul-25,7/31/2025,1179.8,39.22,1219.02,964.15,915.5,42.6,6.05,644.2,535.6,34.7,4.52,678.9,540.12,86.04,132.9,59.1,83.15,126.15,58.62,1173.75,640.15,533.6,4.35,1.7,6.05,2.5,1.85,1.15,3.2,1.7,106.3,1072.3,90.89,11.4,6.1,5.3,6.19,0.97,7.16,0.53,2.54,0.59,488.1,299.15,124.3,34.05,11.82,8.85,4.25,0.48,0.46,-0.36,-0.1,91.95,8.05,71.8,28.2
Aug-25,8/31/2025,1186.74,40.4,1227.14,970.6,920.45,43.2,6.95,648.55,538.19,35.65,4.75,684.2,542.94,86.51,133.25,59.32,83.5,126.5,58.84,1179.79,644.05,535.74,5.1,1.85,6.95,2.9,2.2,1.22,3.88,1.85,107.95,1078.9,90.91,11.23,6.01,5.22,6.04,1.18,7.22,0.51,3.01,0.59,492.3,302.4,123.9,33.6,11.95,8.98,4.23,1.95,0.5,1.39,0,92,8,72.1,27.9
Sep-25,9/30/2025,1195.1,41.7,1236.8,977.85,925.83,43.9,8.12,654.34,540.76,36.7,5,691.04,545.76,87.05,133.9,59.54,83.92,127.1,59.1,1186.98,649.2,537.78,6.02,2.1,8.12,3.42,2.6,1.35,4.67,2.1,108.64,1086.4,90.9,11.65,6.25,5.4,7.19,1.3,8.49,0.61,3.22,0.65,497.1,306.8,123.2,32.4,12.12,9.15,4.2,3.25,0.44,0.52,-0.06,92.1,7.9,72.45,27.55
Oct-25,10/31/2025,1215.3,43.15,1258.45,985.2,930.45,44.55,10.2,670.3,545,37.85,5.3,708.15,550.3,88.42,136.2,59.8,85.1,129.5,59.45,1205.1,664.15,540.95,7.7,2.5,10.2,4.45,3.25,1.55,6.15,2.5,109.1,1102.5,90.72,12.15,6.5,5.65,18.12,1.45,19.57,1.52,3.48,1.58,502.4,310.2,124.5,30.1,12.5,9.35,4.15,2,1.25,0.27,0,92.2,7.8,73.1,26.9
Nov-25,11/30/2025,1250.56,47.05,1297.61,1003.65,944.48,45.11,14.06,711.02,539.54,44.56,2.49,755.58,542.03,87.9,139.53,58.94,84.71,131.3,58.67,1236.5,700.58,535.92,10.41,3.65,14.06,5.18,5.23,2.77,7.64,3.65,109.15,1134.6,90.73,14.69,7.94,6.74,31.4,3.9,35.3,2.58,9.04,2.81,511.2,312.9,127.8,33.5,13.25,9.85,4.45,1.39,1.22,0.42,-0.01,92.35,7.65,74.5,25.5
Dec-25,12/31/2025,1258.77,47.37,1306.14,1007.35,947.3,45.29,14.77,720.15,538.62,42.29,5.08,762.44,543.7,91.74,148.92,59.63,88.41,140.66,59.07,1244.2,712.03,532.17,10.99,3.58,14.57,5.58,5.41,3.07,7.92,3.58,109.19,1162.97,93.47,16.12,9.02,7.1,8.21,0.32,8.53,0.66,0.68,0.66,514.35,314.26,128.47,33.03,13.8,10.05,4.47,2.96,5.43,-0.21,0,92.53,7.47,80.3,19.7
Jan-26,1/31/2026,1266.34,47.66,1314,1052.72,990.95,45.83,15.95,725.67,540.67,42.59,5.07,768.26,545.74,92.22,149.84,59.83,88.87,141.53,59.27,1250.89,717.06,533.83,11.53,3.92,15.45,5.83,5.7,3.36,8.17,3.92,113.46,1149.8,90.79,11.95,5.98,5.97,6.9,0.29,7.19,0.6,0.61,0.6,516.8,361.02,129.05,28.9,13.98,10.12,4.41,2.44,4.41,0.27,-0.01,92.42,7.58,75.9,24.1
Feb-26,2/28/2026,1273.31,47.99,1321.3,1059.05,997.38,46.02,15.65,731.42,541.89,42.24,5.75,773.66,547.65,92.48,143.2,60.36,89.12,141.98,59.4,1257.66,722.56,535.1,11.42,4.23,15.65,5.71,5.71,3.41,8.01,4.23,114.9,1156.4,90.82,11.42,5.7,5.72,6.77,0.33,7.1,0.55,0.69,0.56,519.64,364.14,129.36,28.7,14.15,10.28,4.36,1.62,4.86,-0.1,-0.1,92.45,7.55,76.1,23.9
Mar-26,3/31/2026,1282.33,48.25,1330.58,1065.88,1002.27,46.51,17.1,735.73,546.6,43.06,5.19,778.79,551.79,93.26,151.47,60.46,89.41,142.45,59.61,1265.72,728.51,536.72,12.32,4.29,16.61,6.17,6.15,3.65,8.47,4.29,123.88,1185.6,93.67,14.63,8.03,6.61,9.02,0.26,9.28,0.71,0.54,0.7,523.44,368.84,128.91,27.37,14.38,10.45,4.3,3.23,5.09,0.02,-0.01,92.5,7.5,76.35,23.65
